Geneid,SRR15679346,SRR15679347,SRR15679348,SRR15679349
ENSMUSG00000104253,96,83,28,49
ENSMUSG00000054135,59,50,28,53
ENSMUSG00000101791,0,0,0,0
ENSMUSG00000081214,13,8,8,3
ENSMUSG00000103260,5,4,6,8
ENSMUSG00000041439,895,654,750,739
ENSMUSG00000100302,0,0,0,2
ENSMUSG00000100230,0,0,0,0
ENSMUSG00000026514,25,36,22,14
ENSMUSG00000102276,0,0,0,0
ENSMUSG00000089888,0,0,0,0
ENSMUSG00000089927,0,0,0,0
ENSMUSG00000026102,2106,1881,1546,1728
ENSMUSG00000041426,437,335,473,415
ENSMUSG00000089802,0,0,0,2
ENSMUSG00000026339,1063,713,909,867
ENSMUSG00000085857,0,4,0,0
ENSMUSG00000083582,0,0,0,0
ENSMUSG00000050534,2,0,2,0
ENSMUSG00000081130,0,0,0,0
ENSMUSG00000043629,55,18,40,29
